question,answer
<A1,>如何办理合同等文件归档事宜？<\A1>
<A2,>适用制度：《收文管理办法》<\A2>
<A3,>事前应准备的资料：无<\A3>
<,A174>经办人/联系方式：采购团队   黄远标/0755-83081870
制度正文（发文流程中提供了制度发文模板）,<\A14>
附件（如有）（发文流程中提供了常用发文模板）,<\A13>
<A4,6>如何申报党委会、总裁办公室会等公司决策类会议？<\A46>
<A47,>适用制度：《关于规范党委会、总裁办公会议题报送的通知》<\A47>
<A48,>事前应准备的资料：无<\A48>
<A49,>流程、步骤：
现场汇报,<\A49>
<A50,>经办人/联系方式：秘书服务岗 万洁0755-83081003<\A50>
各单位汇报议题时简明扼要，重点突出，,<A64>一般汇报时间不超过15分钟<\A64>，<A67>主要汇报议题核心内容和需会议决策的具体事项，并提出初步办理意见进行讨论。<\A67>
归档保管,<\A71>
沟通清晰后，,发起签报流程，办公室会签确认；
广告投放计划、,拟刊登的设计样稿<\A92>
记者关注的事件的基本情况。,<\A99>
3,）培训采购，单次采购金额20万元以下的；
第一时间电话告知,总裁办相关情况；
其他具体情况参照《媒体危机管理办法》；,<\A112>
如何给公司官方,微信公众号、官方微博投稿？
填写申请单→部门合,规专员审批→上级主管审批→部门领导审批→会签（如内容涉及到多个部门，申请人需选择相关会签部门）→答复会签意见→通过后安排发稿。<\A115>
申请人发起“签报流程”→填写申请单→部门负责人、分管领导审批同意→总裁办公室会签（审批类），审批同意后→申请部门注册新媒体公众号。,<\A123>
申请人发起“签报流程”→填写申请单→经子公司总经理审批同意→总裁办公室会签（报备类）→申请部门注册新媒体公众号。,<\A124>
申请人发起“签报流程”→经私人客户部审批同意→总裁办公室会签（报备类）→申请部门注册新媒体公众号。,<\A125>
申请人发起“签报流程”→填写申请单→部门领导审批同意→总裁办公室会签（报备类）。,<\A130>
如何在,公司官网发布内容？
如何给企业号,--招证微刊投稿？
各部门需要在“招证微刊”发布稿件，发稿需求方应先和总裁,办公室微刊编辑联系，告知稿件内容及发稿需求，并发送拟刊发的图文资料。经微刊编辑初步审核后，沟通修改意见、补充图文资料后，发稿需求方才可投稿。
稿件撰写完成后，发稿需求方请将稿件先交由相关部门负责人、部门分管领导审核，图文内容均需审核。相关部门负责人、部门分管领导均审核通过后，可,正式投稿。
发稿需求方需将最终定稿的Word文字稿件、文章配图（摄影照片原图、原始像素设计图表等，如有图片说明，直接命名在图片标题上），打包发送,至微刊编辑的OA邮箱（当前微刊编辑为总裁办公室罗智子，邮箱luozhizi@cmschina.com.cn）；邮件命名格式“【微刊投稿】+所在单位+作者姓名+稿件标题”。
收到投稿后，,微刊编辑将对发稿需求方投稿稿件进行图文编辑及校对层面的修改，并进行手机页面排版设计。
微刊编辑,会把排好版面的“待审核”的稿件链接发送给发稿需求方，完成所在部门的审核确认（此稿件链接仅用于审核预览，非正式发布链接，严禁部门负责人或相关同事将此链接转发至群聊、朋友圈）。
对于拟发布的内容，发稿需求方部门负责人为第一责任人,。
审核确认后，,微刊编辑完成发布前的校对及修改，并试推送至总裁办公室负责人或授权分管领导审核。审核无误后，进行发布。<\A148>
如何给,E报投稿？
作者撰稿→提交部门,E报信息员→信息员把关修改→提交部门负责人审阅→涉及公司领导讲话、致辞的提交领导本人审阅（没有发言或一般礼节性发言的，可不提交领导审阅）→<A153>信息员按照E报要求的格式于每周二下午18：00前投稿到E报邮箱：ebao@cmschina.com.cn<\A152><\A153>
如何申请,OA首页滚动播报？
已被,E报或微刊刊发的：编辑通知作者拟在OA首页轮播→作者提交签报流程→分管领导审批同意→流程抄送彭枫、毕晓彤、任松岭→由任松岭挂出
未刊登的：作者撰稿→发给任松岭（,E报）或罗智子（微刊）编辑反馈→作者发起签报流程→分管领导审批→流程抄送彭枫、毕晓彤、任松岭→由任松岭挂出<\A163>
如何在公司企业,号发布内容？
填写会签申请单→上级主管审批→需求部门领导审批→会签部门负责人审批,(如内容涉及到多个部门，申请人需选择相关会签部门)→总裁办领导审批→会签通过后发布。<\A169>
需求说明书，包含但不限于采购标的、规格指标、合同条款（合同范围、交付时间、合同期限、付款方式、验收标准等）、报价单格式、单一来源说明材料（如有）。,<\A172>
第一步：需求部门,根据项目预算判断是否属于集中采购范围
一,、<A175>集中采购范围：
（,12）其他经集团批准的采购项目。<\A172>
二、,<A185>属于非集中采购范围：由采购品归口部门确定的采购组织部门实施采购或由需求部门直接实施采购，其中属于非集中采购范围中的第（3）、（4）、（5）、（7）、（8）、（12）条的情形，需按要求履行审批后实施，其中单次采购金额20万元以上的（在集团批准的平台实施的除外），需求部门应在付款前及时完成采购报备。<\A173><\A185>
1,）行政办公采购，单次采购金额3万元以下的；
2,）广告宣传采购，单次采购金额5万元以下的；
4,）信息技术类采购，单次采购金额10万元以下的；
5,）其他经营项目采购，单次采购金额10万元以下的。
一、,<A184>属于集中采购范围：需求部门提交采购申请单，即在OA系统中发起“集中采购申请流程”，由办公室组织实施采购；<\A184>
夏,  娟/0755-83081866
邢周亚,/0755-83081856
章,  盈/0755-83081850
姚,  明/0755-83081864
马玉霞,/0755-83081857
曾顺泉,/0755-83081862<\A174>
