question,answer,document
当天申购新股/新债可以通过撤单菜单查询申购记录吗？,不可以。普通账户、信用账户新股/新债记录您可通过新股申购—我的申购或委托查询—当日委托菜单查询当天的申购记录。,Aguxingu_json_csv
什么人不能参与竞价发行？,发行人与主承销商的关联方不得参与。,beijiaosuo_json_csv
深交所在开盘竞价的非交易时间是否会接受委托？,接受（9：30处理）,Agujiaoyi_json
可以通过哪些渠道可以查询网上、网下申购记录？,1）手机软件（V8.10及以上版本）：交易—北交所交易—新股申购—申购查询—今日申购/全部申购；手机软件：交易—普通—北证/新三板新股申购—申购查询—今日申购/全部申购；2）电脑软件（新版，V7.11及以上版本）经典交易：股票—北交所—新股申购—申购委托查询。网下申购记录查询：北交所网下申购记录无法通过我司软件查询，您可咨询北交所如何查询记录。,beijiaosuo_json_csv
关闭新媒体公众号相关事宜的经办人/联系方式是？,经办人/联系方式：媒体管理岗黄小蕾0755-83081598,xingzheng_json
创业板交易新规中，新股上市后的第6个交易日起连续竞价阶段的报价范围是？,2、连续竞价阶段：限价委托（价格笼子）（1）买入申报价格≤买入基准价格*102%；（2）卖出申报价格≥卖出基准价格*98%。对于连续竞价申报价格除须符合“价格笼子”的相关规定外，还须符合相关股票的价格涨跌幅限制规定（涨跌幅限制比例为20%，上市后的前五个交易日无价格涨跌幅限制），申报价格超范围但不超过涨跌幅限制的申报仍然有效，但是无法即时参与竞价，待价格波动进入有效竞价范围后，再参与竞价。,chuangyeban_json_csv
信用账户个人客户怎么取消创业板权限？,"境内外个人客户（不论年龄是否超过70周岁）可通过以下方式操作：1、自助渠道（支持7*24小时）（1）手机软件：我的—开通创业板，或者交易—信用—账户管理—创业板开通；（2）电脑软件（新版）：我的—业务办理—创业板权限开通，或者我的—业务办理—融资融券—业务权限—创业板权限开通。点击""权限管理""，选择""关闭信用账户创业板权限""，根据系统提示操作。2、营业部现场账户本人在交易日9:00-17:00带有效二代身份证（港澳台客户需携带的是开户时证件）到就近营业部申请创业板权限关闭，请您提前与就近营业部联系。[备注]信用账户关闭创业板权限不影响普通账户创业板权限。相关截图请点击右侧“详情”查看。",chuangyeban_json_csv
给E报投稿的流程、步骤？,流程、步骤：作者撰稿→提交部门E报信息员→信息员把关修改→提交部门负责人审阅→涉及公司领导讲话、致辞的提交领导本人审阅（没有发言或一般礼节性发言的，可不提交领导审阅）→信息员按照E报要求的格式于每周二下午18：00前投稿到E报邮箱：ebao@cmschina.com.cn,xingzheng_json
怎么查询北交所新股网上申购记录？,T日网上申购，T日起可通过以下渠道查询申购记录：1、手机软件（V8.10及以上版本）：交易—北交所交易—新股申购—申购查询—今日申购/全部申购；手机软件：交易—普通—北证/新三板新股申购—申购查询—今日申购/全部申购；2、电脑软件（新版，V7.11及以上版本）经典交易：股票—北交所—新股申购—申购委托查询。相关截图请点击右侧“详情”查看。,beijiaosuo_json_csv
新股申购额度是由哪里提供的数据？/我司是否可以更改新股申购额度？,A、新股申购额度为中登公司提供的数据，我司无法更改该数据，因此没有显示额度的账户，我司也无法对其做任何特殊处理，具体以账户显示为准；,Aguxingu_json_csv
什么是权限降级？,开通注册制创业板交易权限后可以将创业板权限关闭，但不能将其降级为核准制创业板权限。,chuangyeban_json_csv
创业板交易旧规中，持仓数量数量有零股，应该怎么卖出呢？,1）账户只有零股部分：需一次性卖出，不可拆分卖出；2）账户有100股整数倍及零股部分：可将100股整数倍部分先卖出，或将零股部分与100股整数倍部分一并卖出，不能先卖出零股部分，也不能将零股部分再拆分卖出。【举例】持有280股某股票，可先卖出100股、200股或180股、280股，不能先卖出80股、也不能卖出30股（即：80股的零头不能拆分卖）。,chuangyeban_json_csv
若普通账户与信用账户（姓名、证件类型、证件号码）三要素一致的情况下，普通账户关闭了核准制创业板交易权限或注册制+核准制创业板交易权限，关联的信用账户是否会一并关闭对应的交易权限？,（1）普通账户关闭了核准制创业板交易权限或注册制+核准制创业板交易权限，则关联的信用账户将一并关闭相应的板权限；,chuangyeban_json_csv
网下新股申购的参与条件有哪些？,参与新股股票询价和网下申购业务前需先在协会注册为网下投资者。,Aguxingu_json_csv
A股的交易时间是？,交易时间沪市：开盘集合竞价时间为每个交易日的9:15至9:25，连续竞价时间为：9:30至11:30、13:00至14:57；收盘集合竞价时间为14:57至15:00。备注：2018年8月20日前：连续竞价时间为：9:30至11:30、13:00至15：00。深市：开盘集合竞价时间为每个交易日的9:15至9:25；连续竞价时间为：9:30至11:30、13:00至14:57；收盘集合竞价时间为14:57至15:00。,Agujiaoyi_json
普通账户开通创业板权限什么时候生效？,1、自助渠道：T日9:00-16:00前申请开通权限，办理成功实时生效；T日16:00-T+1日9:00前开通创业板权限，T+1日9点后生效，具体以您收到的短信提示为准。2、营业部现场：权限开通成功，则实时生效。,chuangyeban_json_csv
沪市的申购代码是？,"沪市：申购代码与股票代码不同,股票代码以6开头，申购代码以7开头，具体请查看公告。",Aguxingu_json_csv
创业板交易新规中，单笔买卖市价申报的最大数量是？,（2）市价申报：单笔买卖申报最大数量不得超过15万股；,chuangyeban_json_csv
可转债、可交换债中签后的放弃原则，深圳市场是以多少为单位？,深圳市场放弃以1张为单位。,Aguxingu_json_csv
创业板交易新规中，对股票涨跌幅有哪些限制要求？,1、首次公开发行上市的股票，上市后的前5个交易日不设价格涨跌幅限制；之后的交易日涨跌幅比例为20%，超过涨跌幅限制的申报为无效申报；2、核准制+注册制创业板风险警示股票的涨跌幅为20%；3、核准制+注册制创业板退市整理股票的涨跌幅为20%。【备注】相关基金涨跌幅限制放宽为20%，比如追踪指数成分股仅为创业板股票的基金，深交所后续将在官网公布涨跌幅为20%的基金名单。,chuangyeban_json_csv
新股中签结果会通过哪种方式公布中签结果？,摇号抽签后需在指定媒体上公布中签结果，公布中签率。,Aguxingu_json_csv
什么是核准制？,（二）核准制：是指依照证券发行核准制的要求，证券的发行不仅要以真实状况的充分公开为条件，而且必须符合证券管理机构制定的若干适于发行的实质条件。符合条件的发行公司，经证券管理机关批准后方可取得发行资格，在证券市场上发行证券。,chuangyeban_json_csv
如何理解股票的随机扫盘制度？,为什么在股票涨停时，以涨停价格下单，有些人可以成交，有些不可以？举例：我和朋友通过两家不同的证券公司早上均以涨停板价格委托买入同一只股票。该股开盘就涨停，但是我的委托没有成交，而比我委托时间晚的朋友却成交了，为什么会这样？是否和我所在的证券公司在深交所的排序靠后有关？,Agujiaoyi_json
风险测评变更是否影响新股申购/股票交易等操作？,不影响。新股申购及股票、场内基金、债券交易等场内交易的业务不受风险测评变更的影响，股东代码正常则不影响交易。,Aguxingu_json_csv
什么是网上申购新股？,满足网上新股申购条件，通过交易所网上交易系统（即券商交易软件）申购新股、获得配号，经过摇号的方式决定中签号码，中签后，在规定的时间内账户中须保留足够的缴款金额。资金不足的情况下，视为放弃申购权利。,Aguxingu_json_csv
满足新股申购额度要求，当天新开户什么时候可以显示新股申购额度？,如账户本人名下有其他账户且满足新股额度计算的要求，则：深市：T日新开深A股东代码，T+1日账户才可交易深市A股有深市市值，最早T+3日才可显示深市新股申购额度，具体以账户显示为准；沪市：T日新开沪A股东代码，需T+1日才可指定交易，指定交易成功后最早T+3日才可显示沪市新股申购额度，具体以账户显示为准。[备注]&nbsp;以上新开的账户包括普通账户和信用账户。,Aguxingu_json_csv
普通账户取消创业板权限后信用账户会同步取消吗？,会。如您的普通账户与信用账户三要素（姓名、证件类型、证件号码）一致：普通账户取消核准制创业板权限或注册制创业板权限，则关联的信用账户将一并取消相应的创业板权限。,chuangyeban_json_csv
退市整理期届满次一交易日，本所对公司股票予以摘牌，公司股票会终止上市吗？,退市整理期届满次一交易日，本所对公司股票予以摘牌，公司股票终止上市。,chuangyeban_json_csv
限价委托和市价委托的适用范围是？,适用于有价格涨跌幅限制的连续竞价期间。这种方式在委托量大、日波动率大、日换手率高、日成交比数多、揭示买/卖量多、市场价差小以及流通盘小时，相对于目前采用的限价委托方式更为适用。,Agujiaoyi_json
普通账户的创业板交易渠道有哪些？,1、手机软件：交易—普通—买入/卖出；2、电脑软件（新版）：交易—普通交易—买入/卖出、闪电买入或闪电卖出、经典交易—股票—买入/卖出；3、网页版交易快速通道：交易—普通交易—买入/卖出；4、腾讯微证券：交易—快速买卖、行情—搜索代码进入个股行情—交易—买入/卖出、或交易—点击持仓—卖出；5、苹果电脑MAC版：交易—普通—盘后定价委托，盘中时间默认为限价，可点击“限价”栏目后方的按钮即可选择“盘后”，盘后的时间系统默认为盘后；6、95565电话语音：拨打95565—1证券交易—1牛卡号输入—1交易—1买入、2卖出—创业板：1盘中竞价买入/卖出、2盘后定价买入/卖出。以上方式可选择限价、市价（除微证券）、盘后定价方式进行委托。,chuangyeban_json_csv
创业板交易中，最小价格变动单位是多少元人民币？,股票交易的申报价格最小变动单位为0.01元人民币,chuangyeban_json_csv
各全资子公司新媒体公众号新媒体号的申请环节是？,各全资子公司新媒体公众号申请环节如下：申请人发起“签报流程”→填写申请单→经子公司总经理审批同意→总裁办公室会签（报备类）→申请部门注册新媒体公众号。,xingzheng_json
市值包括哪些？,市值：A股（不含新股中签缴款/配股缴款未上市部分）、B股、优先股、限售股、股转系统股票（新老三板都算）、债券（含逆回购资产、不含新债中签缴款/配债缴款未上市部分）、报价回购、资产支持证券、股票期权、港股通股票持仓市值、场内基金、场外基金理财（银行理财产品，不含在途基金、理财，即不含认申购基金、购买理财份额未到账的部分）、OTC产品、私募基金等；核算多个普通牛卡账户及开通权限的普通账户关联的信用账户净资产、股票期权等资产，其他券商资产不核算。当天新开的资金账户，那么资金账户新开户的第二天，资产才可合并计算。,chuangyeban_json_csv
哪种账户类型可以在申购日当天的中午休市期间进行申购？,申购日当天的中午休市期间，普通账户可以进行新股申购，操作后于13:00后查询委托状态，,Aguxingu_json_csv
申购普通新股和科创板、创业板新股的申购路径有哪些？,"手机软件：交易—普通—新股申购—今日申购；这里的""一键申购""功能有分为全部、普通新股和注册制新股。其中：全部：仅可一键申购主板、创业板新股，系统对科创板的新股默认未勾选，需要手动选择；普通新股：可一键申购主板的新股；注册制新股：可一键申购创业板新股，但系统对科创板的新股默认未勾选，需要手动选择。电脑软件（新版）：交易—普通交易—新股申购；电脑软件（旧版）、电脑软件（新版）经典交易：交易—股票—新股—新股申购；以上电脑软件操作一键申购新股时，系统对科创板的新股默认未勾选，需要手动选择。微证券：微证券—交易—一键打新—今日申购，来申购当天发行的新股。或微证券—交易—快速买卖菜单输入新股申购代码后，查询到申购信息可点击该条记录，跳转到一键申购界面。上述交易渠道、95565电话语音及平板证券（PAD）的“买入”操作（95565电话语音及平板证券无新股申购菜单）；",Aguxingu_json_csv
